id,text,audio
s1,where do you usually have lunch,assets/s1.mp3
s2,the restaurant of our company,assets/s2.mp3
s3,take your temperature,assets/s3.mp3
s4,oh man 39 degrees,assets/s4.mp3
s5,did you cook this dish,assets/s5.mp3
s6,yes what about its taste is it good,assets/s6.mp3
s7,she often hides behind her mother when there is a stranger,assets/s7.mp3
s8,I was a shy girl like her when I was young,assets/s8.mp3
s9,are there many foreign students in your school,assets/s9.mp3
s10,yes there are,assets/s10.mp3
s11,what did you take as your major at college,assets/s11.mp3
s12,my major is economics,assets/s12.mp3
s13,why don't you go,assets/s13.mp3
s14,they are young it is unsuitable for me,assets/s14.mp3
s15,I am 52 years old this year,assets/s15.mp3
s16,I am 52 too,assets/s16.mp3
s17,how to write your name,assets/s17.mp3
s18,like this,assets/s18.mp3
s19,let's eat out today,assets/s19.mp3
s20,that good let's go to that new restaurant,assets/s20.mp3
s21,I study in Canada and have a work,assets/s21.mp3
s22,are tuition fees and living expenses very high in there,assets/s22.mp3
s23,his number was noted in this paper and you can contact him,assets/s23.mp3
s24,when do you run every morning,assets/s24.mp3
s25,I'm going on a run at 6 in about a half an hour,assets/s25.mp3
s26,he enjoys studying very much,assets/s26.mp3
s27,so he gets good grades,assets/s27.mp3
s28,is it cold in winter in Osaka,assets/s28.mp3
s29,same here,assets/s29.mp3
s30,will you take part in the activity tomorrow,assets/s30.mp3
